Number,Title,Author,Gender,State,Created,Closed,Lifetime,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger,Concepts
5689,Update to Dart `1.20.0-dev.1.0`.,Phil,male,MERGED,2016-08-31 21:41:53,2016-09-08 20:14:08,191,33,-0.4113,0.3161,0.2512,0.0956,0.0237,0.0757,"'Time', 'Code', 'History'"
117698,Improve CupertinoContextMenu to match native more,Manuel,male,MERGED,2022-12-27 21:52:17,2023-02-15 17:37:22,1196,30,0.6129,0.2725,0.3815,0.0805,0.0311,0.0574,"'Knowledge', 'Google', 'Line'"
96774,Fix flutter web app not respecting assets path when in non-root folder,nicolasvac,unknown,MERGED,2022-01-18 14:45:17,2022-03-10 23:50:17,1233,31,-0.6485,0.3952,0.1657,0.0885,0.0269,0.064,"'Failure', 'History', 'Deployment environment'"
96664,fix: BottomNavigationBarItem colors,Zlati,female,CLOSED,2022-01-14 17:53:38,2022-07-19 12:32:33,4459,31,-0.4101,0.3277,0.2656,0.0885,0.04,0.0759,"'Code', 'Delays', 'Knowledge'"
82575,"[flutter] when primary mouse pointers don't contact a focused node, reset the focus",Jonah,male,MERGED,2021-05-14 21:30:23,2021-06-09 00:39:06,603,31,-0.3698,0.2822,0.3251,0.0893,0.0301,0.0677,"'Gesture recognition', 'Google', 'Idea'"
75027,[flutter_tools] switch dart defines to base64 to avoid windows control characters,Jonah,male,MERGED,2021-01-29 23:10:40,2021-02-02 17:10:49,90,32,0.2948,0.2657,0.3293,0.1285,0.0231,0.0528,"'Cross-platform', 'Human-readable medium', 'Causality'"
74469,Implement dartPluginClass support for plugins,Emmanuel,male,MERGED,2021-01-22 06:14:01,2021-02-19 17:22:46,683,32,-0.5196,0.281,0.2768,0.1562,0.028,0.0539,None
70747,Roll Engine from 35a0b9fe6827 to 4b859cee939a (4 revisions),engine-flutter-autoroll,unknown,CLOSED,2020-11-18 07:45:41,2020-11-19 17:51:34,34,32,-0.6855,0.2944,0.164,0.1903,0.0121,0.0577,None
48223,Add HeroMode widget,najeira,unknown,MERGED,2020-01-06 02:44:32,2020-10-31 04:23:03,7178,32,0.3233,0.2908,0.3122,0.1153,0.0438,0.0641,'Reproduction'
29809,Fix text selection toolbar appearing under obstructions,yaheng,female,MERGED,2019-03-22 18:38:37,2019-05-06 18:18:10,1080,32,0.6273,0.2942,0.3146,0.0798,0.0287,0.0763,"'Logic', 'Gmail', 'Coordinate system'"
5295,Update Dart SDK to `1.19.0-dev.4.0`.,Phil,male,CLOSED,2016-08-08 22:32:35,2016-08-10 23:00:14,48,32,0.3308,0.2761,0.3467,0.0935,0.0246,0.0722,"'Compiler', 'Linux distribution', 'Requirement'"
112149,Revert file naming convention of .aar files to support fuzzy matching in build.gradle,林军华,unknown,MERGED,2022-09-22 06:40:23,2022-10-04 03:37:23,285,27,-0.3289,0.273,0.35,0.0962,0.0205,0.057,"'XML', 'Packaging and labeling'"
110052,Add support for image insertion on Android,Tanay,male,MERGED,2022-08-23 00:43:55,2023-01-31 19:46:19,3883,29,0.2944,0.3093,0.3096,0.1093,0.0337,0.0577,"'Google', 'Land', 'Report'"
102687,[framework] remove forced compositing from opacity,Jonah,male,CLOSED,2022-04-27 20:47:34,2022-05-26 02:00:42,677,25,0.4718,0.2807,0.2926,0.1226,0.0235,0.0595,"'Color', 'Epsilon'"
91496,[Stepper] Add Alternative Label on horizontal-type Stepper,Jiun,male,MERGED,2021-10-08 16:07:10,2022-06-06 21:43:10,5790,30,0.5905,0.2312,0.3389,0.1145,0.0319,0.0839,"'Want', 'Length', 'Code'"
83530,Add a more complete app template for Flutter (skeleton),Filip,male,MERGED,2021-05-28 00:23:02,2021-06-28 22:26:05,766,18,0.3468,0.2357,0.4159,0.1056,0.0229,0.0534,"'Environmentalism', 'Code'"
62330,Use a LinkedList to improve the performances of ChangeNotifier,Remi,male,MERGED,2020-07-27 11:19:34,2020-08-26 18:34:03,727,31,-0.2718,0.3191,0.3147,0.1031,0.0281,0.0529,"'Sorting algorithm', 'Linked list', 'Algorithm'"
43735,Fixed onSort bug in data_table.dart,Ander,male,CLOSED,2019-10-29 17:25:27,2020-03-13 01:20:51,3248,30,0.4198,0.2742,0.33,0.124,0.0276,0.0651,"'Code', 'License', 'Null'"
28152,Improve hot reload performance,Jonah,male,MERGED,2019-02-19 17:51:13,2019-03-15 22:02:46,580,31,-0.4115,0.3034,0.2988,0.0979,0.0234,0.0701,"'File system', 'Code', 'Microsoft Windows'"
16705,Add support for listing and launching emulators,Danny,male,MERGED,2018-04-18 10:06:59,2018-05-09 15:04:01,509,31,0.2846,0.3386,0.2989,0.1015,0.0196,0.0527,"'Code', 'Android (operating system)', 'Emulator'"
99731,[Material] Create an InkSparkle splash effect that matches the Material 3 ripple effect,Anthony,male,MERGED,2022-03-08 02:50:33,2022-03-09 23:13:47,44,29,0.4886,0.5431,0.381,0.0171,0.0451,0.0205,None
