Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
5020,Adding Core support for Promises,Chris,male,CLOSED,2016-02-01T09:35:41Z,2017-02-28T23:08:59Z,466,-0.3182,0.2906,0.3432,0.1125,0.0352,0.0584
18131,esm: provide named exports for all builtin libraries,snek,male,CLOSED,2018-01-13T10:29:10Z,2018-04-29T13:41:39Z,274,-0.3603,0.3099,0.2776,0.0929,0.0414,0.0726
26540,async-hooks: introduce async-storage API,Vladimir,male,CLOSED,2019-03-09T10:07:51Z,2020-02-23T19:25:03Z,208,0.3709,0.2696,0.3247,0.1072,0.0375,0.0682
4765,Enable Node.js to run with Microsoft's ChakraCore engine,Kunal,male,CLOSED,2016-01-19T17:18:30Z,2016-02-19T16:58:51Z,199,-0.2985,0.2497,0.3534,0.0996,0.0447,0.0813
6792,Add v8_inspector support,Ali,male,CLOSED,2016-05-16T20:27:18Z,2016-05-30T16:12:40Z,163,0.2717,0.2937,0.2981,0.0774,0.0411,0.0845
2133,workers: initial implementation,Petka,female,CLOSED,2015-07-08T12:31:57Z,2016-12-11T14:25:53Z,151,-0.4047,0.2754,0.2687,0.0952,0.0385,0.0863
29327,module: resolve self-references,Jan,male,CLOSED,2019-08-26T21:52:41Z,2019-10-24T22:15:02Z,149,-0.3931,0.2978,0.2617,0.0951,0.031,0.0568
758,Implement unhandled rejection tracking,Petka,female,CLOSED,2015-02-08T17:38:00Z,2015-02-25T00:30:43Z,146,0.3731,0.3008,0.2712,0.1436,0.0313,0.0685
18392,esm: Implement esm mode flag,Guy,male,CLOSED,2018-01-26T11:07:34Z,2019-03-19T02:02:47Z,145,-0.3234,0.2743,0.3169,0.0854,0.0306,0.0645
19335,process: add allowedNodeEnvironmentFlags property,Christopher,male,CLOSED,2018-03-13T23:28:36Z,2018-08-25T01:17:16Z,143,-0.4459,0.2835,0.2676,0.0975,0.0463,0.0869
3743,cluster: migrate from worker.suicide,Evan,male,MERGED,2015-11-10T19:15:06Z,2016-04-26T00:29:24Z,140,-0.5079,0.3551,0.2441,0.1066,0.044,0.0836
20876,worker: initial implementation,Anna,female,CLOSED,2018-05-22T01:12:45Z,2018-06-06T17:55:00Z,139,0.3268,0.2529,0.3219,0.0906,0.0333,0.0726
4782,process: add 'warning' event,James,male,CLOSED,2016-01-20T19:47:20Z,2016-03-24T20:21:24Z,137,-0.3358,0.2923,0.2905,0.1154,0.036,0.0842
36328,Https imports,Bradley,male,MERGED,2020-11-30T16:47:19Z,2022-02-10T03:48:34Z,132,-0.456,0.3347,0.2884,0.0977,0.0342,0.0626
4682,"buffer: add Buffer.from(), Buffer.alloc() and Buffer.allocUnsafe(), soft-deprecate Buffer(num)",James,male,CLOSED,2016-01-14T04:23:32Z,2016-03-16T15:36:13Z,132,-0.3777,0.2663,0.3011,0.1162,0.0418,0.0845
43525,test_runner: add TAP parser,Wassim,male,MERGED,2022-06-21T16:19:49Z,2022-11-21T22:50:22Z,131,-0.3249,0.2655,0.2779,0.111,0.0358,0.0687
12892,Async Hooks - Initial Implementation,Andreas,male,CLOSED,2017-05-08T07:37:38Z,2017-05-10T20:27:27Z,129,-0.3795,0.3029,0.2758,0.1296,0.0389,0.0671
2286,tools: update eslint to v1.x,Michaël,male,CLOSED,2015-08-01T12:55:51Z,2016-01-13T22:18:02Z,127,-0.4838,0.2689,0.3203,0.0952,0.0308,0.1136
21857,util: expose promise events,snek,male,CLOSED,2018-07-17T18:44:25Z,2018-09-17T15:44:48Z,125,-0.4634,0.3134,0.2726,0.0896,0.0441,0.0743
29656,stream: construct,Robert,male,CLOSED,2019-09-22T21:04:31Z,2020-05-27T08:26:25Z,122,-0.5173,0.2996,0.2697,0.1402,0.0385,0.0761
22712,node-report: meld into core,Gireesh,male,MERGED,2018-09-05T15:51:04Z,2019-01-18T05:08:00Z,121,0.3533,0.2975,0.3178,0.0881,0.0332,0.0729
21551,new core modules go under a namespace,Jordan,male,CLOSED,2018-06-26T22:23:02Z,2020-06-25T01:18:42Z,120,-0.3101,0.2626,0.3346,0.1052,0.0362,0.0637
33021,process: Change default --unhandled-rejections=throw,Dan,male,CLOSED,2020-04-23T10:36:00Z,2020-09-22T19:30:16Z,118,-0.5746,0.3553,0.211,0.1022,0.0332,0.0941
2534,"http: fixed socket destruction, timeout and leaking",Timur,male,CLOSED,2015-08-25T01:59:16Z,2017-05-26T16:08:03Z,119,-0.2695,0.2972,0.2787,0.1166,0.0427,0.0783
41749,lib: add fetch,Michaël,male,MERGED,2022-01-29T14:48:51Z,2022-02-01T08:17:50Z,118,-0.3931,0.3124,0.338,0.0738,0.0367,0.0658
29207,"src,lib: make ^C print a JS stack trace",Chengzhong,male,CLOSED,2019-08-19T17:20:15Z,2020-01-28T05:54:00Z,118,-0.5767,0.2945,0.2329,0.1184,0.0319,0.0958
21573,module: use compileFunction over Module.wrap,Ujjwal,male,CLOSED,2018-06-28T06:50:55Z,2019-02-19T15:29:43Z,118,-0.3011,0.2899,0.2982,0.1095,0.0314,0.0787
14901,"src, test: node internals' postmortem metadata ",mary,female,CLOSED,2017-08-17T19:08:36Z,2018-01-26T00:56:50Z,115,-0.3289,0.2917,0.2675,0.099,0.0304,0.0888
27375,deps: update V8 to 7.5,Michaël,male,MERGED,2019-04-23T19:59:30Z,2019-06-01T14:05:39Z,114,-0.8382,0.557,0.1058,0.0626,0.0145,0.0427
6102,http: don't inherit from Object.prototype,mscdex,none,CLOSED,2016-04-07T16:10:47Z,2017-08-24T23:05:10Z,113,-0.3901,0.3,0.2909,0.1177,0.0339,0.0699
14500,test/dgram: Add support for IPv6 link local scope IDs in received UDP datagrams,Pekka,male,CLOSED,2017-07-26T12:03:14Z,2020-07-21T11:02:41Z,111,-0.419,0.3274,0.2843,0.1222,0.0291,0.0626
33416,module: CJS exports detection for modules with __esModule export,Guy,male,CLOSED,2020-05-15T07:17:20Z,2020-09-29T02:23:26Z,110,-0.2623,0.254,0.3327,0.1228,0.0394,0.0824
3594,fs: optimize realpath using uv_fs_realpath(),Yuval,male,CLOSED,2015-10-29T23:03:17Z,2016-04-15T07:50:30Z,110,-0.5911,0.276,0.2913,0.1301,0.0357,0.0767
1457,Replace C HTTP parser with JS HTTP parser,mscdex,none,CLOSED,2015-04-18T00:04:16Z,2016-04-30T16:31:34Z,108,0.2728,0.2476,0.3158,0.1027,0.0365,0.0836
19447,[6.x] n-api: backport to v6.x,Gabriel,male,CLOSED,2018-03-19T15:46:43Z,2018-04-16T21:49:00Z,107,0.2925,0.2586,0.3418,0.0994,0.0366,0.0725
9659,cluster: fixing debug port logic for forking workers,Yuri,male,CLOSED,2016-11-17T11:00:27Z,2017-06-11T19:34:34Z,107,-0.3711,0.2726,0.2795,0.0956,0.0397,0.0758
5102,fs: add a temporary fix for re-evaluation support,Nikita,female,CLOSED,2016-02-05T17:07:23Z,2016-02-13T04:41:40Z,105,-0.5097,0.3209,0.2424,0.104,0.0323,0.0803
21128,util: add MIME utilities,Bradley,male,MERGED,2018-06-04T21:43:35Z,2022-10-19T02:26:17Z,104,0.3272,0.2268,0.3521,0.0846,0.0333,0.0728
20097,src: exit on gc unhandled rejection,Ruben,male,CLOSED,2018-04-17T12:24:28Z,2019-03-11T20:35:17Z,104,-0.5245,0.3455,0.2256,0.1018,0.0413,0.0884
16675,"loader, docs, test: named exports from commonjs modules",snek,male,CLOSED,2017-11-02T00:03:38Z,2017-12-17T20:30:09Z,103,-0.4002,0.2834,0.2815,0.1172,0.0354,0.0724
19898,fs: improve argument handling for ReadStream,Ujjwal,male,CLOSED,2018-04-09T17:35:01Z,2018-05-14T17:07:28Z,102,-0.4028,0.2807,0.3329,0.1447,0.05,0.0626
37468,esm: consolidate ESM Loader methods,Jacob,male,CLOSED,2021-02-21T18:29:31Z,2021-09-12T01:11:05Z,101,-0.4675,0.3388,0.255,0.1039,0.0359,0.0683
37375,module: Unflag JSON modules,Antoine,male,CLOSED,2021-02-15T01:32:24Z,2022-02-19T17:26:32Z,100,-0.513,0.3652,0.2296,0.0791,0.039,0.0905
33879,doc: drop minimum waiting time as hard guideline,Anna,female,CLOSED,2020-06-14T20:43:42Z,2022-02-14T00:01:13Z,96,-0.3188,0.2763,0.2817,0.1099,0.037,0.0771
27984,http: don't emit end after aborted,Robert,male,CLOSED,2019-05-30T18:25:59Z,2019-10-14T02:07:07Z,98,-0.5626,0.3176,0.2987,0.1178,0.0362,0.066
26334,Restrict process and Buffer globals to CommonJS,Guy,male,CLOSED,2019-02-27T12:17:18Z,2019-07-31T20:47:24Z,97,-0.295,0.2914,0.2937,0.0997,0.0414,0.0566
29197,stream: fix multiple `destroy()` calls,Robert,male,CLOSED,2019-08-18T21:41:53Z,2020-02-29T08:35:06Z,96,-0.5908,0.3577,0.2078,0.1351,0.0397,0.1066
12607,src: round nsec instead of truncating stat times,JDP,male,CLOSED,2017-04-23T07:01:19Z,2017-05-25T22:07:22Z,95,-0.3074,0.2993,0.2938,0.1168,0.0379,0.0565
7152,buffer: runtime-deprecate Buffer constructor,Nikolai,male,CLOSED,2016-06-04T16:22:28Z,2017-05-04T12:06:39Z,95,-0.4806,0.2929,0.2764,0.0907,0.0344,0.0867
22079,Linux large pages - after rebase,Uttam,male,MERGED,2018-08-02T00:29:24Z,2018-10-18T21:44:43Z,94,-0.4409,0.3129,0.3036,0.0957,0.0313,0.0727
6375,"lib,src: ""throw"" on unhandled promise rejections",Jeremiah,male,CLOSED,2016-04-25T17:23:13Z,2017-03-23T21:14:55Z,94,-0.6192,0.3755,0.2125,0.1153,0.0408,0.0876
3622,lib: use arrow functions instead of bind,Minwoo,male,CLOSED,2015-11-01T15:08:25Z,2015-12-17T10:46:53Z,94,-0.3059,0.2784,0.2873,0.1365,0.0384,0.0732
41263,http: refactor headersTimeout and requestTimeout logic,Paolo,male,MERGED,2021-12-21T15:07:02Z,2022-04-13T14:48:00Z,93,-0.3385,0.3205,0.3077,0.0997,0.0387,0.067
14004,deps: update V8 to 6.0,Michaël,male,CLOSED,2017-06-30T12:01:35Z,2017-08-01T20:23:46Z,93,-0.6006,0.315,0.2761,0.1031,0.0349,0.0623
35015,util: add util.parseArgs(),Christopher,male,CLOSED,2020-09-01T22:31:32Z,2020-09-20T00:44:15Z,92,-0.356,0.2681,0.276,0.1158,0.0327,0.0809
17156,events: add off alias to removeListener,Ulmanb,none,CLOSED,2017-11-20T18:25:33Z,2017-12-20T07:57:39Z,92,-0.4313,0.2981,0.3048,0.1071,0.0357,0.0786
31229,WIP: Move ESM loaders to worker thread,Bradley,male,CLOSED,2020-01-06T21:15:51Z,2021-04-09T22:00:01Z,91,-0.3926,0.2543,0.2806,0.1097,0.0307,0.0729
8169,buffer: hard-deprecate calling Buffer without new,Nikolai,male,CLOSED,2016-08-18T20:52:01Z,2016-08-25T18:04:43Z,91,-0.3888,0.2773,0.2567,0.1155,0.0333,0.0846
881,src: command line option to preload modules,Ali,male,CLOSED,2015-02-18T18:36:44Z,2015-03-19T10:45:29Z,91,-0.4449,0.2873,0.2998,0.0983,0.0242,0.0948
42334,"src,doc: Experimental support for SEA",Michael,male,CLOSED,2022-03-14T22:32:45Z,2023-02-08T22:46:06Z,90,0.3365,0.2925,0.3039,0.1244,0.0295,0.0826
24811,cli: add --max-http-header-size flag,Colin,male,MERGED,2018-12-03T17:33:00Z,2018-12-20T14:32:54Z,90,0.3876,0.2801,0.2901,0.1208,0.031,0.0594
37681,dns: default to verbatim=true in dns.lookup(),treysis,none,CLOSED,2021-03-09T22:11:24Z,2021-03-26T16:18:20Z,89,-0.5381,0.348,0.2864,0.0984,0.0357,0.0626
9304,Trace event support for Node.js,Matthew,male,CLOSED,2016-10-26T23:53:35Z,2016-12-20T20:33:43Z,89,-0.3122,0.3028,0.2842,0.1041,0.0312,0.0685
36139,deps: update V8 to 8.8,Michaël,male,MERGED,2020-11-16T20:31:32Z,2021-02-12T06:59:59Z,88,-0.5556,0.289,0.3361,0.0926,0.0322,0.0488
3063,timers: fix processing of nested same delay timers,Jeremy,male,CLOSED,2015-09-25T17:01:14Z,2016-07-15T17:38:59Z,88,-0.3437,0.2972,0.2961,0.096,0.0332,0.078
44004,"src,process: initial permission model implementation",Rafael,male,MERGED,2022-07-27T01:15:35Z,2023-02-23T18:11:52Z,86,-0.3042,0.2805,0.3234,0.0948,0.0332,0.0733
16170,Enable explicit `.m.js` intent for ESM,Andrea,female,CLOSED,2017-10-12T21:43:40Z,2017-12-15T22:16:36Z,87,-0.319,0.2872,0.3162,0.097,0.0272,0.07
6893,buffer: improve creation performance,Ingvar,male,CLOSED,2016-05-20T10:01:59Z,2016-06-06T11:31:23Z,87,0.3377,0.2787,0.3058,0.1359,0.0325,0.0673
15346,buffer: runtime-deprecate Buffer ctor by default,Nikolai,male,CLOSED,2017-09-11T19:42:08Z,2018-06-15T11:32:06Z,86,-0.5133,0.3379,0.2595,0.1032,0.033,0.0702
5251,emit `error` events consistently in next tick,Sakthipriyan,male,CLOSED,2016-02-15T23:12:35Z,2017-05-23T18:49:04Z,86,-0.5282,0.3324,0.2344,0.1402,0.0309,0.0898
44250,inspector: introduce inspector/promises API,Erick,male,MERGED,2022-08-16T15:23:10Z,2022-10-13T23:12:05Z,85,-0.2924,0.2518,0.3466,0.0958,0.0368,0.0643
38332,errors: display Node.js version at the end of stacktraces on fatal exception that causes exit,Divlo,none,CLOSED,2021-04-21T15:37:25Z,2021-09-08T17:36:45Z,85,-0.4056,0.285,0.3036,0.1238,0.0351,0.0783
33812,esm: loader chaining,snek,male,CLOSED,2020-06-09T15:47:00Z,2020-12-24T16:08:12Z,85,-0.3129,0.2479,0.2862,0.096,0.042,0.0909
1159,workers: initial implementation,Petka,female,CLOSED,2015-03-15T22:38:28Z,2015-07-08T12:32:14Z,84,-0.2724,0.2932,0.3063,0.1013,0.0304,0.0699
24347,http2: make compat finished match http/1,Robert,male,CLOSED,2018-11-13T23:04:42Z,2020-02-18T19:55:38Z,84,-0.403,0.3162,0.2575,0.1227,0.042,0.0726
21875,fs: implement recursive (mkdirp) functionality,Benjamin,male,CLOSED,2018-07-19T00:41:02Z,2018-08-11T19:09:59Z,84,0.3259,0.265,0.3499,0.1265,0.0317,0.0605
45803,deps: add simdutf dependency,Yagiz,male,CLOSED,2022-12-09T21:06:31Z,2022-12-22T20:22:32Z,82,-0.4718,0.4168,0.2606,0.0862,0.0218,0.0712
8040,Add crypto.timingSafeEqual(),Teddy,male,CLOSED,2016-08-09T23:32:06Z,2016-08-20T02:38:11Z,82,-0.5039,0.327,0.2479,0.1189,0.0271,0.073
36111,"TLS: improve compliance with shutdown standard, remove hacks",Jameson,male,CLOSED,2020-11-13T20:46:42Z,2021-12-08T06:30:54Z,79,-0.5015,0.3661,0.249,0.1005,0.0292,0.0619
34895,lib: create diagnostics_channel module,Stephen,male,CLOSED,2020-08-23T20:13:02Z,2020-10-31T21:24:16Z,77,-0.3425,0.2697,0.3154,0.1063,0.0343,0.0619
30020,deps: update V8 to 7.9,Michaël,male,MERGED,2019-10-18T09:10:13Z,2019-11-08T15:07:24Z,81,-0.521,0.403,0.2774,0.0854,0.0257,0.0445
6413,"Revert ""fs: add a temporary fix for re-evaluation support""",James,male,CLOSED,2016-04-27T05:29:39Z,2016-08-29T22:13:47Z,81,-0.3897,0.2679,0.3107,0.0994,0.0429,0.0824
36816,http: align with stream.Writable,Robert,male,CLOSED,2021-01-06T17:15:29Z,2021-03-10T14:04:14Z,80,-0.5534,0.3116,0.2983,0.122,0.0293,0.0567
25852,deps: update V8 to 7.3,Michaël,male,CLOSED,2019-01-31T16:22:10Z,2019-03-14T17:53:05Z,80,-0.4975,0.3414,0.2921,0.0971,0.0363,0.0536
