Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
30999,Roll engine 72986c39ea36..49a72e1e41c9 (36 commits),engine-flutter-autoroll,none,CLOSED,2019-04-13 00:40:23,2019-04-13 00:44:18,149,-0.6319,0.3767,0.0884,0.1233,0.0593,0.1331
61221,[flutter_tools] Add ARM64 Linux host and cross-building option support,Hidenori,male,MERGED,2020-07-10 08:44:54,2021-02-12 22:25:30,98,0.4624,0.3111,0.3288,0.0957,0.0298,0.0652
71235,Roll Engine from 20caf5496951 to e89090181b63 (3 revisions),engine-flutter-autoroll,none,CLOSED,2020-11-25 20:55:40,2020-11-30 17:54:34,110,-0.6248,0.342,0.1755,0.119,0.0157,0.0522
34087,Roll engine 06dbe28e33e5..afb5dc400a89 (3 commits),engine-flutter-autoroll,none,CLOSED,2019-06-08 00:11:11,2019-06-08 00:51:55,69,-0.635,0.3778,0.0881,0.123,0.0595,0.1329
105335,`OverlayPortal` ,LongCatIsLooong,none,MERGED,2022-06-03 20:48:46,2023-03-02 17:34:01,67,0.3382,0.2769,0.3196,0.1304,0.0349,0.0602
76519,Proposal: A more complete app template for Flutter,Brian,male,CLOSED,2021-02-22 12:13:03,2021-03-25 13:04:21,63,0.4218,0.241,0.405,0.0841,0.0354,0.0667
86587,Roll Plugins from f726c319a61d to 57fb51f06e18 (1 revision),engine-flutter-autoroll,none,CLOSED,2021-07-16 23:04:18,2021-07-19 18:27:12,63,-0.9519,0.3682,0.2283,0.1226,0.0119,0.0605
81857,Roll Plugins from a2ce3dab4661 to c54b73d67393 (2 revisions),engine-flutter-autoroll,none,CLOSED,2021-05-04 19:32:09,2021-05-07 15:20:02,63,-0.7336,0.3594,0.201,0.0556,0.021,0.0583
76903,Roll Plugins from aead5acb35c6 to a0fe2225e255 (4 revisions),engine-flutter-autoroll,none,CLOSED,2021-02-27 00:43:53,2021-03-01 17:25:46,60,-0.9519,0.2837,0.1808,0.1939,0.011,0.0438
72968,Roll Engine from f5364860ab10 to 2021ca2ad87c (1 revision),engine-flutter-autoroll,none,CLOSED,2020-12-26 00:56:44,2020-12-28 18:12:36,61,-0.621,0.3646,0.1786,0.072,0.0164,0.045
